"UN";"Название";"№ АК";"Тип АК";"Размер группы";"Индивидуальный профиль";"Статус";"Замечания"
"1078";"ГАЗ РЕФРИЖЕРАТОРНЫЙ, Н.У.К., такой как смесь F1, смесь F2 или смесь F3 *";"215";"групповая";"5";"нет";"READY";""
"1078";"Пропеллент УФ-1 *";"215";"групповая";"5";"нет";"READY";""
"1079";"Серы диоксид";"203";"групповая";"22";"нет";"READY";""
"1080";"Серы гексафторид";"201";"групповая";"45";"нет";"READY";""
"1081";"Тетрафторэтилен стабилизированный";"205";"групповая";"14";"нет";"READY";""
"1082";"Трифторхлорэтилен стабилизированный";"209";"групповая";"16";"нет";"READY";""
"1083";"Триметиламин безводный";"208";"групповая";"9";"нет";"READY";""
"1085";"Винилбромид стабилизированный";"205";"групповая";"14";"нет";"READY";""
"1086";"Винилхлорид стабилизированный";"205";"групповая";"14";"нет";"READY";""
"1087";"Эфир винилметиловый стабилизированный";"206";"групповая";"25";"нет";"READY";""
"1088";"АЦЕТАЛЬ (р)";"306";"групповая";"53";"нет";"READY";""
"1089";"АЦЕТАЛЬДЕГИД (р)";"301";"групповая";"15";"нет";"READY";""
"1090";"Ацетон";"307";"групповая";"20";"нет";"READY";""
"1091";"Масла ацетоновые";"307";"групповая";"20";"нет";"READY";""
"1092";"Акролеин стабилизированный";"650";"групповая";"5";"нет";"READY";""
"1093";"Акрилонитрил стабилизированный";"310";"групповая";"14";"нет";"READY";""
"1098";"Спирт аллиловый";"607";"групповая";"7";"нет";"READY";""
"1099";"Аллилбромид";"312";"групповая";"27";"нет";"READY";""
"1100";"Аллилхлорид";"312";"групповая";"27";"нет";"READY";""
"1104";"Амилацетаты";"316";"групповая";"55";"нет";"READY";""
"1105";"Пентанолы";"306";"групповая";"53";"нет";"READY";""
"1106";"АМИЛАМИН (р)";"311";"групповая";"25";"нет";"READY";""
"1107";"Амилхлорид";"312";"групповая";"27";"нет";"READY";""
"1108";"1-ПЕНТЕН (н-АМИЛЕН)";"301";"групповая";"15";"нет";"READY";""
"1109";"Амилформиаты";"316";"групповая";"55";"нет";"READY";""
"1110";"н-АМИЛМЕТИЛКЕТОН (р)";"316";"групповая";"55";"нет";"READY";""
"1111";"АМИЛМЕРКАПТАН *";"304";"групповая";"15";"нет";"READY";""
"1112";"Амилнитрат";"326";"групповая";"7";"нет";"READY";""
"1113";"АМИЛНИТРИТ (н)";"310";"групповая";"14";"нет";"READY";""
"1114";"Бензол";"314";"групповая";"3";"нет";"READY";""
"1120";"Бутанолы";"306";"групповая";"53";"нет";"READY";""
"1123";"Бутилацетаты";"306";"групповая";"53";"нет";"READY";""
"1125";"н-Бутиламин";"311";"групповая";"25";"нет";"READY";""
"1126";"1-Бромбутан";"312";"групповая";"27";"нет";"READY";""
"1127";"Хлорбутаны";"312";"групповая";"27";"нет";"READY";""
"1128";"н-Бутилформиат";"306";"групповая";"53";"нет";"READY";""
"1129";"БУТИРАЛЬДЕГИД (н)";"307";"групповая";"20";"нет";"READY";""
"1130";"Масло камфорное";"315";"групповая";"14";"нет";"READY";""
"1131";"СЕРОУГЛЕРОД *";"304";"групповая";"15";"нет";"READY";""
"1133";"КЛЕИ, содержащие легковоспламеняющуюся жидкость";"305";"групповая";"36";"нет";"READY";""
"1133";"КЛЕИ, содержащие легковоспламеняющуюся жидкость (давление паров при 50 °C более 110 кПа)";"305";"групповая";"36";"нет";"READY";""
"1133";"КЛЕИ, содержащие легковоспламеняющуюся жидкость (давление паров при 50 °C не более 110 кПа)";"305";"групповая";"36";"нет";"READY";""
"1133";"КЛЕИ, содержащие легковоспламеняющуюся жидкость (имеющие температуру вспышки ниже 23 °C и вязкие) (давление паров при 50 °C более 110 кПа, температура кипения более 35 °C)";"305";"групповая";"36";"нет";"READY";""
"1133";"КЛЕИ, содержащие легковоспламеняющуюся жидкость (имеющие температуру вспышки ниже 23 °C и вязкие) (давление паров при 50 °C не более 110 кПа)";"305";"групповая";"36";"нет";"READY";""
